,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.36634738647386744,0.002448428874633684,0.32523173939034883,0.09277934007602612,0.0028925765799815003,-0.04695924755842069,0.05060029667113009,0.03154133198004423,0.024397343504721523,0.14201692590476692,0.11217755498445557,0.03244357917956218,0.07001888711532848,0.08245919877875334,0.13444057222584246,0.2828361430084863,0.22467088301831076,0.04020516543531283,0.08000716639242433,0.16418132542432937,0.022224682263489615,0.5311363188727688,0.12217809935068297,0.046479125761302045,0.11173259785697552,0.14935101972715553,0.04666894739505197
Belo Horizonte,0.01329584364937461,0.44162521243282343,0.19228193863707224,-0.10279362610854668,0.4506279372029422,0.718011799439353,0.09995593323948433,0.5858983556344376,0.5936440975560379,-0.06363785405645499,0.6132585579243629,0.04290708892868067,0.05165573081197036,-0.02901053790084771,0.09842472240308744,0.17659364842098926,0.4395966904423476,0.48227098193493045,0.28625539205023864,0.3671010073019781,0.2171959781074745,0.061545335239977995,-0.019747296102554348,0.12037176228918701,0.09027393095262681,-0.0025322212554416204,0.4733083318959975
Belém,-0.007603723658255907,-0.04944559811673907,0.5627513498084467,0.13814371282684937,-0.005378091009719083,0.4101227255728402,0.0638101373932374,-0.003731036882493527,-0.008124328799449356,-0.07675786498971406,0.10877767775195721,-0.1469260690022915,0.34076519719135795,0.03532628363966567,0.17909022070763256,-0.05131818385411766,0.3015429209540656,-0.04737224426145287,0.20228867417341131,0.1919683467297027,0.40943255923371574,0.048083939913953905,0.07841317495096446,0.015229705727092747,0.05073645600269448,-8.293276715783615e-06,-0.002472815142637889
Boa Vista,0.21898526331705023,0.07160741504455717,0.27567020904224093,0.6338492263473876,0.12581379562600897,0.004952975191591811,0.06382912362197435,-0.09608069619635522,-0.12888379136647835,0.15859495635929347,-0.007416337245227474,-0.08564155401250227,0.17869851847597884,0.5355832489248421,-0.0149195971629293,0.10113199442745731,0.04397137492220238,-0.09001426275374624,0.034365885064882265,0.10812480117275157,0.2417007830449523,0.16498146975531963,0.2970853331921254,-0.018948043430181014,0.0020315128988259335,0.06965047171699608,0.019528104115475904
Brasília,-0.02111845803744718,0.426817975134762,0.10208608244057336,-0.16880690965199943,0.5850906841900975,0.5318244997546907,0.11169190769630494,0.4212151256385403,0.5049788094280611,-0.05883479345510471,0.6229398924914405,0.054532288643123074,-0.013010285227526135,-0.06738120044513768,0.10613678279213125,0.06692543942712044,0.5446365323867709,0.41355839772459774,0.39522431804000496,0.3195401698434013,0.2821141016054585,0.021323469202956306,0.03499335848808346,0.06844975398087591,0.38285801422807786,0.052391932312741245,0.3633644318704564
Campo Grande,-0.055714603159087266,0.005481653662480906,0.021941448275124446,-0.1217061169160023,0.007786143894980864,0.4169439329582005,0.07234566720038418,0.0649691852962706,0.10299159244805477,-0.1564058049044471,0.16569556230390134,-0.16936307332043904,0.019506583760417806,-0.12836661780124656,-0.02493156651059704,-0.12534581839163342,0.1305286550048456,-0.004867278532664944,0.36268064933728006,0.08715790282836429,0.1213605195836261,-0.07768429117547458,-0.15533467205911328,-0.0822622219438277,-0.036420065598495324,-0.15385079388490722,0.08826719147460982
Cuiabá,0.04011378563713588,0.006538929503082985,0.3222359777877945,0.13510101202252628,-0.0628608758408243,0.05108922356928221,0.3554288059769058,-0.01729266896719663,-0.043524062159544456,-0.003094428223291749,0.12354520488738133,-0.11828939758719768,0.14723587723165246,0.0007077979508114763,-0.009661000032670482,-0.05383112700985848,0.11050411959873223,-0.013373272448273589,0.14451602378438855,0.11978948669789322,0.3374921278563054,0.1187776967521302,0.381473511211444,-0.11625988307091772,0.00782134654410067,0.05218292942601773,0.19235473026252775
Curitiba,0.032070083080326675,0.30090001103075603,0.14420148552613862,-0.16693627376180706,0.2891190860761894,0.3806059690934,0.02008719275079975,0.6333940732668887,0.6782624941618103,-0.036372624686422994,0.3394284236132358,0.0467587895091804,-0.005796650492823213,-0.08935792619798452,0.042025371628378924,0.20492954920944229,0.2803060250547272,0.37952122343150674,0.10518092897723022,0.5139652528675951,0.03925147481548244,-0.025768478144671553,-0.04350228534805129,0.16129947158570698,0.05734903141972912,-0.02682242510344501,0.12408426148013015
Florianópolis,-0.004929848954977254,0.2813893228956389,0.05594404827008614,-0.20306419123794134,0.30090054461429916,0.32448295447584496,-0.011520017389163716,0.5722178925206967,0.6714659457881464,-0.04974726092813843,0.32039263246233174,0.0641608649087413,-0.040837853102171556,-0.13565541213646523,0.004162468428159766,0.1682007467931762,0.3910318679818654,0.3475204921699174,0.07886127898969479,0.43118393759134305,0.01005965406328885,-0.06332116096121686,-0.07813387895167781,0.12506860504787648,0.08572947957561752,-0.0403401160260356,0.09038112512089352
Fortaleza,0.3130611526294257,0.24473707017007884,0.4209721482289443,-0.012426419106051082,0.24309549622613183,0.05896551641872771,0.21714555185814077,0.3471285132981877,0.284479974716432,0.3713134723556261,0.38006803540810397,0.39799712699916834,0.28347683834424997,0.18657517543383711,0.38388601393754707,0.412176954934381,0.38500905601097224,0.36476305669381937,0.07522264611834414,0.44332841302798126,0.17404663626970493,0.5164026648816655,0.18962111101404225,0.33378731431037933,0.298343113699713,0.46203081666965123,0.10520478951126229
