,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.8881205518604233,0.05477944333834019,0.2901526252027156,0.2207380717645033,0.04855019461210416,-0.046245470835875276,0.08481133905406779,0.07294901739233134,0.05388628580005763,0.3842828009122943,0.21696343295835122,0.13884844421520326,0.10170033488321252,0.2872022128631737,0.09551208517013139,0.5423057925271026,0.18761898246764255,0.05689039201238241,0.03150860405986481,0.3364744918320754,0.004356213682942468,0.6237554608229161,0.3037120204087295,0.13850986737440227,0.1580921193529983,0.22225839913347503,0.11449463642676616
Belo Horizonte,0.06369067626459617,0.9099970520680077,0.19449671543070496,-0.06255464355728285,0.7014621292779857,0.4016503312089771,0.09156463291382287,0.7217123499014986,0.6696688251905271,0.05764929756294555,0.6274088616732918,0.2808486692182448,0.1843738557970676,0.14022247818698785,0.10697310502033545,0.33510929463906924,0.3779931707670632,0.8601446763947947,0.179914499548668,0.3596111358225835,0.1696818101036171,0.1978609703525892,0.0934330266255697,0.35667829091809283,0.13077236820646693,0.10937580545725388,0.5502227580036719
Belém,0.1351037158448157,0.08623493015494833,0.8698324623633727,0.19520218854317886,0.10098135401062049,0.4309418398008095,0.1585435720020018,0.13074854411495213,0.06532782000811434,0.08209403667761776,0.1968214705564281,0.0500809058347589,0.5752188659984706,0.17155560676017612,0.32289528405841506,0.1742707413273565,0.4614360630432202,0.0732282117720705,0.1059239570513974,0.313643708535933,0.4623228014993518,0.27609731138987664,0.2711651711138196,0.18494332595936344,0.09483167621028628,0.14284310392240365,0.10904936889094874
Boa Vista,0.25084259630295525,-0.008953296583745683,0.2427123209356108,0.8868973124096154,-0.005466600628998066,-0.08494396887901812,0.042453035385691534,-0.12369739228533651,-0.16147201837939215,0.12247444770752305,-0.0545035871214919,-0.08969050469333274,0.24732443535308282,0.6118468516312124,0.00186943167235816,0.09646010248088324,-0.04372815055359522,-0.10634009179724883,-0.03301274375392261,0.1716117582720073,0.21358994140599477,0.11616286179246466,0.42360568706594476,0.05799044513256825,-0.059986070438479235,0.049778485957672446,0.03508732298289273
Brasília,0.0328267085287663,0.6917294064526902,0.1430452396751496,-0.1079401912982961,0.9267077255839523,0.4047077345693754,0.06634874532774365,0.5516172964482354,0.619984762186931,0.09849571350297184,0.6203972269739135,0.3316907588908635,0.10113699574217436,0.13056528594943329,0.10080144506033588,0.2500087306534376,0.5207322285667314,0.5797782153045027,0.2362383544083959,0.37349748872254573,0.25843729212149813,0.10030188483572211,0.20069006271309725,0.24259034806274,0.46065466125416843,0.213066516708857,0.3750510629216408
Campo Grande,-0.05187889556234879,0.1747142766804835,0.26772932649458303,-0.09738150630928613,0.21575208580434618,0.9085144006880929,0.11596296242661158,0.2601881958858247,0.2508618690196775,-0.10244910455539114,0.4079912799140145,-0.050182575987117346,0.241163351401812,-0.05174275433859391,0.05247968724709035,-0.02970429774720668,0.41424057658342395,0.15522469185816323,0.3919561169731934,0.14008279424958356,0.2445685892850341,-0.007339568107283902,-0.09305502546126748,0.02833442296355763,0.026020640061645308,-0.06674695510708384,0.2823151162466498
Cuiabá,0.0779460403867763,0.06726692302700538,0.2523729320550422,0.07286559477081811,0.0062951552577478545,0.11319978091428282,0.846125380490921,0.0014386280044910533,-0.025208447130291353,0.13600589374774633,0.19688262008494645,-0.006324206458609321,0.11553332682526032,0.14139761303066364,0.0017992179212511232,0.0663664265779706,0.16617606966272339,0.017716127854732592,0.19837734416565872,0.13423102648676372,0.17408282595905974,0.2848321886545153,0.39096265009003256,-0.06865019493080733,0.011777900646220167,0.21456576250022852,0.274671108736732
Curitiba,0.05519802242687368,0.5972306672529543,0.17150358348547223,-0.14548323050985523,0.4886151821753856,0.37980222618562043,0.01248532642537463,0.9268024578744785,0.8147977463939814,0.0679374213836576,0.5137279252293763,0.26275246790776313,0.11009718641095108,0.030108292453444548,0.0908399402605595,0.39561410984961937,0.30733745601454027,0.6751469558298945,0.16528451258444513,0.5005385517976305,0.059807505466464815,0.06477124856873787,0.022226803431593264,0.42734538693942886,0.059972741837471574,0.08607137253851917,0.1665850683230645
Florianópolis,0.017774966273688016,0.5379762295523318,0.07518232601989014,-0.18708858878923668,0.5405368123162165,0.3345543049892317,-0.014246208645179701,0.7927992568154018,0.834451860580819,0.042718206342083793,0.45921910281716466,0.263694457724889,0.05580949752523981,-0.0459105209881575,0.023049579586512263,0.3062232312986473,0.4319226961445067,0.5927845229331381,0.11506264854461172,0.45989626365040753,0.03534257186771996,0.019566688977822846,-0.02683046539936476,0.3466000921612745,0.1242145572872299,0.087029002204697,0.1288834803578646
Fortaleza,0.49983945848232986,0.17178391608996418,0.2675537724327715,0.08076022719800051,0.2131614119895434,-0.033727642531567674,0.24557054225116867,0.20991066288384164,0.1766356195686414,0.8768264108065285,0.3127413896511201,0.6275746440472848,0.21501439390402133,0.36683322696597664,0.27574131408717784,0.554194367601147,0.30258950859338624,0.24339307642063626,0.00501593717477792,0.32848129976532886,0.06783351147041092,0.6600437147106388,0.34255587127789455,0.32219881530903355,0.15584546710702227,0.6527275726148797,0.14289975002152192
