municipio1,municipio2,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
Aracaju,Aracaju,1.0,0.956425023054128,0.8881205518604233,0.8041632903658196,0.6957639987782726,0.5922746857990429,0.4797898955074893,0.36634738647386744,0.27254463119822986,0.1956271055519841,0.13572349571821926,0.09275346542346669,0.06107220180733991
Aracaju,Belo Horizonte,0.06854669348432058,0.06310271723069608,0.05477944333834019,0.044838707407571725,0.0350223331111316,0.024685914722310843,0.013625812265494374,0.002448428874633684,-0.008291184124985217,-0.017961614339194926,-0.025881442466766352,-0.03275403736447269,-0.03832955810831587
Aracaju,Belém,0.22895052397427218,0.2645450762679819,0.2901526252027156,0.30449545380577897,0.31626401738770676,0.3287100788822319,0.33131520571330064,0.32523173939034883,0.31562884581797407,0.30182024829475923,0.2914497860541877,0.2818780559466699,0.27104696159122255
Aracaju,Boa Vista,0.2560013035756984,0.24277279034372826,0.2207380717645033,0.19177733235552916,0.16378820872963165,0.14092826404094555,0.11672219875250296,0.09277934007602612,0.06822778608333394,0.045777906624249146,0.02920941356177985,0.015412389405131273,0.0038112828498809803
Aracaju,Brasília,0.05133186633443469,0.05221428861167412,0.04855019461210416,0.04214633092363978,0.03437837654519317,0.02374006161475929,0.013956749392534386,0.0028925765799815003,-0.009800027449370672,-0.020338498659024904,-0.03005183813201819,-0.0364972166624061,-0.04261222097696001
Aracaju,Campo Grande,-0.04760123694653374,-0.047164438491651584,-0.046245470835875276,-0.04562486660430537,-0.0450603844711911,-0.04476991660305189,-0.04509668826297197,-0.04695924755842069,-0.04798089270519559,-0.04907212186497509,-0.04955473167418915,-0.049735499972581226,-0.04993233334407718
Aracaju,Cuiabá,0.0865097612138945,0.08569233952892104,0.08481133905406779,0.08140763706073358,0.07509824779330933,0.06761532968273382,0.0588091496321543,0.05060029667113009,0.04351360518877603,0.034341465225628365,0.02648963579547058,0.0170583998561739,0.006013850228422938
Aracaju,Curitiba,0.07463132635021348,0.07482278821479318,0.07294901739233134,0.06682007661256606,0.060396506516416135,0.05207683034605875,0.04160885610262719,0.03154133198004423,0.02005917014818797,0.010020544129670324,0.002542732852647092,-0.0031281651867729305,-0.006954561219208811
Aracaju,Florianópolis,0.04389468617450349,0.05122233974389797,0.05388628580005763,0.05068611376037182,0.043750236572990944,0.039984868961553496,0.033388239866070105,0.024397343504721523,0.015980429326040938,0.006097566098382545,0.00265302302885839,-0.008068953391696481,-0.014499205407221724
Aracaju,Fortaleza,0.47138630271880766,0.4320269508180504,0.3842828009122943,0.3354963661657644,0.2815839476279663,0.23061929204495282,0.18508472874288398,0.14201692590476692,0.10694700996059718,0.07752214306227555,0.05137255744654922,0.032298054399526224,0.016173695685083946
Aracaju,Goiânia,0.21012302950186404,0.21969249521056874,0.21696343295835122,0.20630268601970306,0.19152521799337602,0.17114293241690062,0.14369117259682163,0.11217755498445557,0.08197123733064765,0.05443262289927737,0.02972731192334956,0.009469855807758347,-0.007586395716120874
Aracaju,João Pessoa,0.15838235269992046,0.15155328771699225,0.13884844421520326,0.12005581529227746,0.09986989575229767,0.0811907497712259,0.05654978300215153,0.03244357917956218,0.009981603744841045,-0.01088945964877849,-0.02974111890303305,-0.04263194848365527,-0.0545344122445293
Aracaju,Macapá,0.10152075994724212,0.10530242844105536,0.10170033488321252,0.09959938261853475,0.09397414207265213,0.09022388679712016,0.08299632623874167,0.07001888711532848,0.05727330567565392,0.04380930078407065,0.0321647086320386,0.02886936934500028,0.024765731511541614
Aracaju,Maceió,0.34429282139114686,0.3206221702918579,0.2872022128631737,0.24849972595188893,0.20488295660996095,0.16102813832403357,0.12087888325997903,0.08245919877875334,0.05187916076453076,0.027788890942051385,0.010850925943828037,-0.000585467378684486,-0.010593643008551324
Aracaju,Manaus,0.0667481648424591,0.08282206778744958,0.09551208517013139,0.10877264161385519,0.11900380575805833,0.12734316324898196,0.13369979644628915,0.13444057222584246,0.13191299815654375,0.12850387857792625,0.12385534398276811,0.11928664266198823,0.11111464535487049
Aracaju,Natal,0.5955646404981288,0.5812556503747832,0.5423057925271026,0.4984157323650621,0.4517520031270585,0.39821684490691756,0.3415931214963409,0.2828361430084863,0.22946765399686989,0.18218513695357388,0.1407220394682467,0.10875913595555865,0.08153290277555252
Aracaju,Palmas,0.1585935727457381,0.17357332334916528,0.18761898246764255,0.1981693646599498,0.20466477724399065,0.21129168164219891,0.2185801673467791,0.22467088301831076,0.22800238033273595,0.22534965572253735,0.22323748680442662,0.21764189724705596,0.20268996746787687
Aracaju,Porto Alegre,0.049546036952575145,0.051431874455805396,0.05689039201238241,0.054818193140169245,0.05162270686480152,0.05427094622333264,0.04938422647144612,0.04020516543531283,0.030912148404129033,0.020738228558113834,0.012413535057207048,0.004014335248704037,-0.005258522178148451
Aracaju,Porto Velho,0.009805297092758448,0.021235551840091904,0.03150860405986481,0.04419021067773762,0.05590234026545761,0.0665980547056083,0.07409619933521176,0.08000716639242433,0.08913568281270426,0.09794363184684858,0.1069845924359873,0.11571806312823313,0.11753921934009087
Aracaju,Recife,0.3714099030802692,0.3603862303301049,0.3364744918320754,0.31017968882109637,0.27740143402952855,0.23931301062566343,0.20108125073690228,0.16418132542432937,0.13149267573692372,0.10519186730759,0.08335584066285015,0.06550654846906837,0.05070135883872939
