,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.06107220180733991,-0.03832955810831587,0.27104696159122255,0.0038112828498809803,-0.04261222097696001,-0.04993233334407718,0.006013850228422938,-0.006954561219208811,-0.014499205407221724,0.016173695685083946,-0.007586395716120874,-0.0545344122445293,0.024765731511541614,-0.010593643008551324,0.11111464535487049,0.08153290277555252,0.20268996746787687,-0.005258522178148451,0.11753921934009087,0.05070135883872939,0.015692410662070565,0.2485422508526352,0.010138393329289204,-0.013496453297712844,0.014016564164482674,0.04082093651896866,-0.02392787399823397
Belo Horizonte,-0.012712896253759843,0.07664567648489258,0.04964438792369442,-0.12791641753331687,0.11546786663224468,0.5697459342315625,0.07240691603202318,0.2640051209629161,0.34666972162997706,-0.12943819481881413,0.3210615924564714,-0.11864774772559193,-0.08012963265350376,-0.1309830373050113,0.021282365793254383,-0.047553041097402805,0.2731023401019076,0.10707676461758674,0.2902616230435141,0.264523782402876,0.13227766775059913,-0.042623745305315396,-0.11552723285126258,-0.02479450148851824,0.010764289089205055,-0.10882503089441056,0.2708024424133147
Belém,-0.06847811589439154,-0.1205804399582519,0.24511050639442425,0.08245567947568644,-0.0986893090838191,0.14828498980389215,-0.029276031979179943,-0.10862662565504713,-0.08228807898496958,-0.15207205929361622,-0.022730368864378132,-0.2307200691553698,0.09467927920371018,-0.0064757575095545266,0.040099798380299104,-0.18118987559186395,0.038155987526245425,-0.12154565592882541,0.18825064534299543,0.07997369449134824,0.25173900167091395,-0.08224588003329618,-0.015585584706238546,-0.04241392105007667,-0.0015537952283851471,-0.10481815930309313,-0.09919611491725124
Boa Vista,0.24345798421722842,0.08741587018263745,0.31200817207616216,0.44171451665945377,0.22649321350783475,0.13133141778897953,0.14693244793405774,-0.07029362962552445,-0.09936747211984094,0.1696652331194948,0.07081461940043134,-0.10110131583459514,0.13100626295883575,0.4180906439789343,-0.026347505730721858,0.09704732226811444,0.10821286367009136,-0.08100698680651479,0.14545028004453975,0.08013679408555001,0.33101962629774084,0.16058195270226674,0.22089928253805755,-0.039043710886763075,0.03228194233528207,0.027600097830200603,-0.0043361033085420825
Brasília,-0.05501411198191562,0.12447991599434385,-0.03474196841546417,-0.19830529311304107,0.20392679138812506,0.4463255281449926,0.0852447135941632,0.1959218246211511,0.26918395106036236,-0.16744069236845285,0.4252236995940385,-0.13414600929200385,-0.14207033262581772,-0.18105771916183488,0.04484554323198186,-0.10566159165535725,0.3276957169615402,0.16525960575376525,0.4107297415176426,0.18441499988328355,0.18699956311024524,-0.07050562246879767,-0.11758902015977254,-0.083240112692871,0.11842529132062395,-0.11977493194602067,0.26347510978913924
Campo Grande,-0.05784153710378783,-0.08164395528515071,-0.13263979495556258,-0.13144120006305873,-0.12868003518565166,0.074913994180401,-0.009151833180632762,-0.05249025904114014,-0.018865626668109505,-0.181668596974222,-0.028408004359118038,-0.21219418130097958,-0.11204821513936769,-0.14812238725316357,-0.07325490069167245,-0.18998068549720476,-0.07652941554369888,-0.0933369523096283,0.19472577678471548,0.0068230975975179025,-0.023715472691034443,-0.11359051261093545,-0.17419599974175556,-0.14250856426815453,-0.08669942625171205,-0.19740319720055516,-0.040546314866348014
Cuiabá,-0.022315262081235847,-0.0526588519732816,0.22255373207186557,0.14750859333893218,-0.10377321358511833,-0.02340261050360287,0.07336749841424615,-0.040056486542239624,-0.05306876899598751,-0.08857867333833634,0.008593916620736107,-0.17817694361841527,0.07720510885023062,-0.09459890732232831,-0.04268018261174216,-0.14898869890264135,0.021993384177113752,-0.05591349929276216,0.03618078486774769,0.04615618868198784,0.258730339922407,-0.012055312463645761,0.11136607431982222,-0.1485144936605756,-0.03113563753372313,-0.07674473593184479,0.04946388920591277
Curitiba,0.018377752904056223,0.04330589893964053,0.03509161525795644,-0.17283799096685123,0.04137867207477571,0.24189438637559918,-0.0012785128731737996,0.27714186991056655,0.3984644142055223,-0.09131004497456169,0.10636637937032166,-0.09162323031995813,-0.08884450842011367,-0.1509253664060995,-0.02203350593135977,-0.046648935756407287,0.11764198231047159,0.11344534279430071,0.017804583420626345,0.3842718135707908,-0.028492891655581092,-0.07979061321777543,-0.09404961136449798,0.01413950868765447,0.014055576805429125,-0.10047338539760736,0.04176534087478081
Florianópolis,-0.014352909596640134,0.0568534495495428,-0.025026162684442223,-0.19611379298673645,0.05217696463770239,0.2144323902044018,-0.024849405366314782,0.29212050517811083,0.4163692001102983,-0.103689443982609,0.11873258071478578,-0.06718992355071024,-0.09899191483702234,-0.1839255314142357,-0.04063660848605688,-0.04149332999824383,0.1818447512858868,0.11497887969085101,0.019007865575571534,0.325206137262803,-0.047663640057768825,-0.1042903331559155,-0.11184407428923286,-0.0033444195599789286,-0.006202746330557364,-0.11507566725266165,0.018006958132048324
Fortaleza,0.09469623658418332,0.21920477043328593,0.40152614217449817,-0.0804718741030757,0.19376337999272536,0.11608983157476485,0.07466556653654263,0.37931487231949423,0.33740243083671734,0.06439508746896969,0.3132112346358198,0.10012565242710646,0.17332305073771812,-0.024884005008206894,0.25597825167189936,0.20807334887034923,0.37097787418008077,0.32316961372953684,0.11150794554568468,0.3891662011064561,0.2263201161589943,0.20347684756260195,0.04414547303238838,0.15537710905331983,0.22631710814755343,0.1519088139086863,0.05110641989843605
