,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.09275346542346669,-0.03275403736447269,0.2818780559466699,0.015412389405131273,-0.0364972166624061,-0.049735499972581226,0.0170583998561739,-0.0031281651867729305,-0.008068953391696481,0.032298054399526224,0.009469855807758347,-0.04263194848365527,0.02886936934500028,-0.000585467378684486,0.11928664266198823,0.10875913595555865,0.21764189724705596,0.004014335248704037,0.11571806312823313,0.06550654846906837,0.018514351718311187,0.2951897111278195,0.022321322046220615,-0.005644233434525487,0.02948202123330731,0.05982278763818286,-0.016143515243735553
Belo Horizonte,-0.010314679188649485,0.12873379441683963,0.0810539744276328,-0.12448759939448335,0.1769317044084793,0.6452672723605453,0.08176838791393032,0.32640580420587256,0.4031787993560669,-0.11990692363468314,0.3897972856036012,-0.09565665390654811,-0.057226437370617236,-0.1181231393911757,0.04190201914960215,-0.01089012966391709,0.32545673428391736,0.16084467721288526,0.30427245763928146,0.28580417126252067,0.15810879581480217,-0.02773779299114921,-0.10161836686058537,-0.004388080593744057,0.027065287371194294,-0.09068992512160405,0.31481430226468343
Belém,-0.0599830254519067,-0.11144744246916514,0.2991930262495856,0.10203958362309558,-0.08560530105994524,0.20124952727663764,-0.010476861829258423,-0.09167259555367176,-0.06678907730809552,-0.14474159589588734,-1.3952332293473082e-05,-0.2205528530958408,0.1428661096033431,-0.002949671965498705,0.0651929924559697,-0.16218967469957946,0.09184078782692669,-0.10852204321719647,0.19621793738265983,0.10087947788525983,0.286537181213917,-0.06275764151888356,-0.0025994013291682715,-0.038050454226014815,0.006178925663407188,-0.09183745427833787,-0.08439584882831143
Boa Vista,0.2270415736964064,0.08730034547217183,0.3040372565190225,0.4856600045000646,0.20738750033523404,0.1071483183273851,0.1275526854384524,-0.0763943841665124,-0.1063984393360367,0.17301830470230703,0.04821481837663623,-0.10209194066334842,0.13381364389411637,0.4495000362038963,-0.02578838448739817,0.09300937256318165,0.09601529265845338,-0.08500317770386355,0.11063562410463311,0.08470306466056449,0.30635354220962857,0.15306766980108844,0.23743044317423423,-0.04178614979342344,0.02407576517292267,0.03401697479252844,-0.0026566968554603463
Brasília,-0.049101889331693634,0.17615394219931324,-0.00580742673636534,-0.19395777052564664,0.27282787481123955,0.4808947634841365,0.09878816561411967,0.2394677597332738,0.3282589548937385,-0.15063887632917702,0.4753684716208037,-0.10647187215883722,-0.11939578176507594,-0.1651703364397468,0.06272890324327411,-0.07684587718014745,0.3840201946848613,0.21209916504963794,0.4172106922941646,0.21228700973210904,0.2138010271855548,-0.054616452881668914,-0.09412625813747273,-0.05657803435980929,0.16334669649306247,-0.0900360206330449,0.2895322779728463
Campo Grande,-0.05750080656242296,-0.07040114590553323,-0.1118370647444821,-0.133073690900133,-0.10927646410040777,0.1220863925933673,0.006626438022626774,-0.034306429905471815,-0.001251420186860399,-0.1788848005020038,0.004332374851219813,-0.20989064076184194,-0.1001742342428498,-0.14756198669516551,-0.06634994570838149,-0.18212457184185937,-0.04366749953923282,-0.082321215501778,0.23676678597082737,0.023312615057554407,0.001599110428772563,-0.10879866137228356,-0.1760165599276819,-0.1359914118667305,-0.08056463439370788,-0.19217412525579,-0.023336510153884476
Cuiabá,-0.01310652722283628,-0.044366641705307165,0.26144379564336,0.14864913323937248,-0.0978988074972065,-0.011202622151076248,0.11743257410541466,-0.035542342058746096,-0.055769764026633556,-0.07566522799932915,0.030800857779429317,-0.171261787171346,0.09574505742679774,-0.08295429420808999,-0.035523055511823165,-0.13425065722685767,0.03775217240922553,-0.04795370435445626,0.05682594623601717,0.06284006568957412,0.29233851083327544,0.0088219486115717,0.15542740263900265,-0.14472967618200486,-0.024314785393093025,-0.058744352819189785,0.0724582905126077
Curitiba,0.01915715581014768,0.07875341259782147,0.05714850835394791,-0.17431385455472356,0.08211431025111086,0.28129049446799326,0.005761355299433524,0.3372184773336849,0.44812828122731724,-0.08283736016728994,0.14778943494783423,-0.07412201346250957,-0.07875037130899293,-0.14631816579535084,-0.008990680181172486,-0.013486837370687552,0.15607572408124967,0.1453676228407266,0.03463197369269731,0.41640903689861225,-0.012856107564604834,-0.07189926149884716,-0.09049842101936373,0.0337311524517063,0.021278695419811988,-0.08890566235602126,0.0560641938012406
Florianópolis,-0.01161404281212321,0.09077994841784996,-0.00334237465971073,-0.19697958222802223,0.09389470418484137,0.2456603383565283,-0.019109762549950206,0.3416413583380715,0.46506130105356686,-0.09435131619035389,0.15610949697482998,-0.05023240428967046,-0.09522391881305373,-0.1776705898924543,-0.028748608384176446,-0.011395114131692214,0.2313707241804068,0.152188515455374,0.03170126132486069,0.3558225368394971,-0.03382992619622375,-0.09626806344795771,-0.10776764125967649,0.01964957601220951,0.002216121274738002,-0.10243792971453676,0.03404930114417651
Fortaleza,0.12635778943112838,0.23359223479561328,0.4289673714715771,-0.06834946146706818,0.21272356446441068,0.10476555568264546,0.10973659449504806,0.3850873723353891,0.32998005276225695,0.11151440541588982,0.3384083210647249,0.15601685735055987,0.2096686539499084,0.00795019399722709,0.2897270126761403,0.2551770103364637,0.3829053431023365,0.3439017365128393,0.10939141532397545,0.4120237092217937,0.2287098218281361,0.26091514644503755,0.07781381108131456,0.19529152454149537,0.26756457671717726,0.20503164170670568,0.060512519151329026
Goiânia,-0.03780828616816655,-0.02791050988470515,-0.033590423170990744,-0.15558115829391764,-0.02246391213448935,0.18761125823454694,0.0045975453542221965,0.15932575314609546,0.21263603800961722,-0.1540291521652176,0.2529834560688095,-0.1691990229000025,-0.10900805814574785,-0.21447305459404278,-0.019889625782460688,-0.10679282232696723,0.09295689236348267,0.05742923708001205,0.15129753240348912,0.24028369366975771,0.012308592297819693,-0.11642443201447644,-0.1632835212675718,-0.10699444157754401,0.1520888615025014,-0.11652322763393742,0.06180058295989081
João Pessoa,0.03616068123539868,0.4727144330928468,0.42655044065739095,-0.17198108966062572,0.44150874945066126,0.39487432322981536,0.11863461705063476,0.5867300065137661,0.5613870872160327,0.1588173861695464,0.491590503971353,0.33158840236381537,0.30391096035324894,0.06745146829121206,0.3772688768616488,0.3779810282244816,0.5537078308758356,0.5412669671869046,0.05104573300815118,0.48690732605994147,0.23828442793107849,0.260303971903461,0.07930476759958077,0.3554656131634452,0.2420991852619333,0.29254299103844755,0.24466001735584655
Macapá,-0.04634751338459103,0.06467739067066035,0.28686055015282114,0.15201739506871134,0.06040908816810296,0.4144213725699002,-0.0019111517505497255,0.09147245868953094,0.09927199833157198,-0.033586623624291344,0.09718796769356218,0.0008896771142734318,0.3617495377995541,0.12752920860616254,0.00865010521667905,-0.03911089630971779,0.20671543915878443,0.04644620963311702,0.10485202789508656,0.12319288708384918,0.26153980549909184,-0.019067594719918275,-0.018926764243441946,0.009601273053760429,0.014123548836636678,-0.028771583166055516,-0.029996268334714783
Maceió,0.11791683806441382,0.23550973810176404,0.510834346482972,0.23770299488077656,0.4343779199630588,0.34695817019007263,0.262760510836504,0.09487805868243337,0.0709037578469952,0.0448517944279672,0.23539961926489394,0.02867515539674578,0.16901799928484773,0.4692972442298945,0.019181839715045706,0.13050663058019238,0.3856694953511749,0.08984258027667334,0.27860067271567307,0.3725329576579834,0.373056053045503,0.27834588800203747,0.3732431636830451,0.0749061894148473,0.20939429304762844,0.21670152512056426,0.10306805666382159
Manaus,-0.038675679124350784,-0.004631861698183995,0.11042336670009782,0.01741112788950103,-0.03674112275472931,0.061980019712716765,-0.031174197791587345,0.015197955730470211,0.015708145428394275,-0.035554868419929095,0.022645052383721723,-0.08506137101456343,0.03391176526771782,-0.01867708433786181,0.16696741016451902,-0.05503693134519588,-0.01225807335484468,0.06638158620221404,0.05339075579173116,-0.030035491369001653,0.42757537889287545,-0.020978657415533487,-0.0770184373212581,-0.013582930285974496,-0.03480970103782756,-0.04494952620363468,0.07920810975683477
Natal,0.1003429721069053,0.038756710161569945,0.4197056358172619,-0.08859625148879655,0.04814366798910455,0.10147039503962636,0.08857423222718115,0.15050042207122638,0.22695353622883846,0.03959294348812604,0.11201627277750902,0.020094431266909137,0.0671128130966877,-0.012264527511072628,0.253181265625753,0.21112631909103508,0.34583828266395167,0.10482859585879366,0.03327942054513634,0.27338411939133556,0.12920075671220904,0.28937088809705613,0.013774873031866797,0.08798044817380933,0.06741842226076782,0.11179171535945207,0.039232027969297235
Palmas,-0.04965112190316287,-0.08559091110014712,0.1275515035411481,-0.20517201985892464,-0.08014374153321442,0.2184604009979508,-0.01682463924647799,-0.0024780204410976875,0.04169728343681577,-0.11368727451045865,0.0990058165677177,-0.1464452557025902,-0.02716069624894541,-0.24505498395094094,0.2118558520831693,-0.11783195249647214,0.26948375314383116,-0.02358129472221793,0.0786331209483047,0.11454678556486879,0.13774747848325664,0.004936584702428966,-0.12512448149292513,-0.10274941722098042,0.05674922031844655,-0.08181316200339087,0.07610295723305545
Porto Alegre,-0.01771389998962454,0.12416067767835497,0.07149713888969633,-0.11921196134048681,0.15805071138745108,0.4998163698758075,0.001217670495208707,0.35709593037589166,0.4626633728978546,-0.10447999692643813,0.2779177231361414,-0.06251637000813583,-0.03426450042275889,-0.09246200249717047,0.08065245112992013,-0.014975325142986788,0.31133848831637384,0.1867298994203796,0.06950191439783725,0.34317337369506123,0.06589022901632814,-0.054022427868162345,-0.09370024326858266,0.02760363233170331,0.05105355967136025,-0.07704889898287767,0.2568613980377808
Porto Velho,-0.06256578774244471,-0.016131367710951378,-0.08246541637682764,-0.06986656323774117,-0.06912427156508597,0.009163488535724011,-0.019720593702626743,0.0364566151316929,0.049937109308986254,-0.10997373123526576,-0.011325290920437846,-0.13905861963158891,-0.10346341138304947,-0.08842283855919428,-0.05188366859161653,-0.09655895200942814,-0.06328840653521513,-0.004984735867661748,0.11844106299976764,-0.009936573417185814,-0.056989121721126496,-0.07854653647237077,-0.14208911766452897,-0.06299542069728255,-0.06144792445927571,-0.13866653132420462,-0.05585214625384136
Recife,0.08325633943158586,0.056374401750042845,0.2554828927059755,-0.016933416839369945,0.12315167403538173,0.14109517378377054,0.0031372789564382947,0.05162848811236165,0.12677531633296282,-0.06329548824567006,0.15813378820978088,-0.06249244262984772,0.015493530288938235,0.02938458195507643,0.02461891135875572,-0.016348567918964493,0.165973063674143,0.023010818899067097,0.024430907203569097,0.3835557809487603,0.09067349366975444,0.02622280652117418,0.1299338392201433,0.014600359494655176,0.13979837711901427,-0.01127891716987101,0.026976072308971814
Rio Branco,-0.09085439239917537,-0.06953442984156902,0.04371007136035032,0.12485077083237012,-0.07834492041860376,0.045348136951150454,0.01355895748239126,-0.08646925772031688,-0.08371369048524699,-0.16665869825801943,0.027841639000586185,-0.23532389534350476,-0.00677095066201038,0.02206149349190931,0.026068058537213536,-0.1737087522262731,-0.09029141590708677,-0.06593795830415079,0.3509546856070571,-0.079455255317934,0.3567602146943993,-0.12061413150002954,-0.11388059283301773,-0.0783278270848309,-0.07711477010537063,-0.1617140738635341,-0.04701643492957674
Rio de Janeiro,0.04341449610190051,-0.02811975902151068,0.41927173818019225,-0.06372101150128817,-0.045985687933139854,0.16089905774482205,0.0885450776625691,0.04614583385660497,0.007384177317248042,-0.040048977150112755,0.0428454812686851,-0.09822293238533428,0.033763965461119316,-0.03469764971080496,0.26947997251812056,0.018213668232081266,0.29400768099151775,0.01285082613142435,0.07113806370419366,0.18739256553801617,0.1860150855083804,0.2108627037881283,0.03411910166623598,-0.040242888008715276,-0.00575226532279304,0.04755053822074681,0.08672761770853676
Salvador,0.06312593765241532,0.08087114078674225,0.44573095214452974,0.10842210519801615,0.3112913884335418,0.13190435621949953,0.14942037115116483,0.030005211705466495,0.021032167613071542,0.16160768245656587,0.2458085633856055,0.1002970013200782,0.19777052685124621,0.14275215724258675,0.32800252035278504,0.04039456669990961,0.3236070709862869,0.04365070032994297,0.12039636665548814,0.25970007777038057,0.48412156847532645,0.1991345660794662,0.3380311412233616,0.0489190655535115,0.2776614242234895,0.210353420661773,0.12910975319998544
São Luís,0.028935485390666132,0.15719864033029574,0.4845268160862812,0.1403525753554278,0.22918307579893685,0.43814404984040733,0.007536062984731303,0.3435329000966134,0.34185501930835976,0.08629842482639423,0.1663361363901815,0.165318734553006,0.3383140885713311,0.17700775398878418,0.3039059833243465,0.17672333680687477,0.47092798121620405,0.20467340675742773,-0.0006682930711319045,0.4465789444818417,0.22264128995140803,0.13489326717883154,0.24779277849433085,0.25368715832188543,0.10642070521926954,0.14798919360073565,0.20662411046054857
São Paulo,-0.04680016802295785,-0.057788835369418756,-0.06758222125564618,-0.10901990727373569,0.04398391892620906,0.10037775175213388,-0.03956818024903143,-0.029511705094733713,-0.00396381230461353,-0.10805291485056255,0.14150588379128165,-0.09188674119834617,-0.06078493933308451,-0.12950634116402876,0.024828028041779467,-0.11476911357663065,0.10852682441509072,-0.028112696508264014,0.09511865164142616,-0.01659617460258332,0.061615163835825756,-0.07990164253380931,-0.06379484551754853,-0.11710414646494711,0.06126217423885908,-0.07754018222732721,-0.006530788943878738
Teresina,0.023307467056014507,0.09453416534512293,0.5564713135017584,-0.05064350560565201,0.1678689253794,0.22838119624490566,0.11721745460297062,0.19876736327994501,0.15182327101747659,0.04988906759467275,0.18686455845881006,0.07966701059539279,0.26492863224097346,0.024403777589368417,0.2625821168986782,0.09220334120044134,0.476379309015862,0.1453285176779375,0.0064224705822690685,0.31050728352782464,0.2161846033453118,0.1657319297284767,0.18122619663044237,0.11494192072490782,0.18505578236785208,0.1452249552279753,0.07045869943044265
Vitória,-0.03553902022454853,0.04911050458509303,0.1417270252905258,0.024374585843148486,0.02061096990843914,0.35934613102934165,0.041620158482426374,0.01252299815284091,0.009024681042713463,-0.09147985385322563,0.23284392768906176,-0.11643251170601118,0.12221503100430552,-0.07281402070349845,0.342714895356546,-0.1283411118133041,0.13041176612287006,0.07707630754370402,0.09192461605260771,-0.009575373873935351,0.37182504184117027,0.03961212761289726,-0.019930294313431154,-0.08114347950437299,0.027465692062236265,-0.058220597146087086,0.45709962405039756
