,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,1.0,0.06854669348432058,0.22895052397427218,0.2560013035756984,0.05133186633443469,-0.04760123694653374,0.0865097612138945,0.07463132635021348,0.04389468617450349,0.47138630271880766,0.21012302950186404,0.15838235269992046,0.10152075994724212,0.34429282139114686,0.0667481648424591,0.5955646404981288,0.1585935727457381,0.049546036952575145,0.009805297092758448,0.3714099030802692,-0.012245329079602907,0.5256837188694611,0.3395895697889676,0.15223504119371575,0.13742248253612335,0.22046766378156837,0.11288985836648512
Belo Horizonte,0.06854669348432059,0.9999999999999998,0.1463972688273748,-0.040648961407069244,0.7327986953415181,0.2767238335065115,0.0831316781763361,0.6865366622490309,0.6281072432569523,0.11816969407109076,0.558139780395016,0.36247891281572103,0.20693369232041534,0.19907009857456562,0.09715627118728934,0.335403636909827,0.32405779087630987,0.8848160652983637,0.13918373431881537,0.307956439703167,0.12114333212988682,0.21475310073884737,0.12186194852846764,0.41556817265868623,0.13975934001328574,0.13563447639669343,0.5254570453515423
Belém,0.2289505239742722,0.14639726882737478,1.0,0.23500495540271144,0.13456322921925223,0.36940598694437116,0.2089443666095153,0.1714533232558395,0.08258983332601985,0.18076899934681986,0.2247105987030562,0.16391391417977957,0.6797814174213607,0.26103288639227035,0.34185650494473874,0.29415222429556415,0.4857420365340941,0.12660665678184374,0.06503659576861798,0.35778816781383876,0.4239987812225551,0.37465965868239204,0.37036316447349,0.2896841692081942,0.11705828458695348,0.22602067125022246,0.171071382013573
Boa Vista,0.2560013035756984,-0.040648961407069244,0.23500495540271146,1.0,-0.06011401849934429,-0.09450237751870981,0.05269892006855657,-0.13177346550665664,-0.17212007753994385,0.10881326503454229,-0.07157295345111502,-0.09237066849275977,0.25886442587926917,0.6155670577130271,-0.0006884775437999308,0.095254306819017,-0.0775179072015146,-0.1099595898622878,-0.0445891330690821,0.18387084443264037,0.20418604952940797,0.07795718474283309,0.4401454206774572,0.08807149544662157,-0.08153084252040876,0.049420576934360756,0.03998941029403567
Brasília,0.051331866334434685,0.7327986953415181,0.13456322921925223,-0.060114018499344286,1.0,0.3111657365837925,0.038936492778020755,0.5463912113284748,0.6106360482353295,0.16471633829168322,0.5689060361935651,0.4251801741069316,0.12386807693164577,0.22425027316463875,0.08433329712808442,0.2854238807878985,0.4586630781608161,0.6376390153090259,0.16133748861698136,0.35341024266157284,0.21264573596699562,0.10368637692524967,0.25883179990857363,0.29762589698418046,0.4386698115212383,0.23991855309742574,0.3630685656889524
Campo Grande,-0.047601236946533745,0.2767238335065115,0.36940598694437116,-0.0945023775187098,0.3111657365837925,1.0,0.1226313627166459,0.33543449288234056,0.30007347732401635,-0.07007109914821756,0.48079145768356135,0.021487395701535975,0.3154560349266332,-0.0021333705064949453,0.08552935167334105,0.01720950351440336,0.49980123823730854,0.24171712885425967,0.34714669181433516,0.16328038224913932,0.2674884130170472,0.03184493263500935,-0.056083173524847214,0.08813624080880222,0.04448639263028501,-0.02077002416674153,0.3582000372263068
Cuiabá,0.08650976121389452,0.0831316781763361,0.2089443666095153,0.052698920068556566,0.038936492778020755,0.1226313627166459,0.9999999999999998,0.009319443935356412,-0.015835725840070165,0.20156811577095332,0.21203548711964687,0.04131009722305822,0.08344110226069251,0.19547160984412873,-0.0003063660921018344,0.11067752782900572,0.17200433782945693,0.025217813834912384,0.2022898187791865,0.1232093054215326,0.150288493753937,0.3294475688677413,0.31997738175800877,-0.04602133921259381,0.00999026285681454,0.26450647973511804,0.27547179771627495
Curitiba,0.07463132635021348,0.6865366622490309,0.1714533232558395,-0.13177346550665667,0.5463912113284747,0.3354344928823406,0.00931944393535641,0.9999999999999999,0.8493348155054902,0.1335928950483202,0.5457812552181738,0.37043216133730406,0.15436850609735175,0.08237936375068812,0.09845644316212718,0.4391921999930724,0.2911581759127563,0.7519767927179912,0.17737852245624303,0.47110951010031316,0.055732546697046186,0.0975689278720427,0.053390765038081336,0.5128273215791768,0.05252127268858614,0.13787869126602095,0.17837527486172877
Florianópolis,0.04389468617450349,0.6281072432569523,0.08258983332601985,-0.17212007753994388,0.6106360482353295,0.30007347732401635,-0.015835725840070165,0.8493348155054902,0.9999999999999998,0.10257153695018592,0.48816802185399577,0.3583948503438039,0.09418024225193516,0.0056734033563595075,0.03203270407578846,0.36888006078510277,0.4178673757993162,0.6969087691220366,0.12200473211558081,0.4416144658622638,0.029535510930636368,0.05262855163851337,0.00819332259397085,0.39849319007444184,0.1341366969944815,0.1274188768796777,0.15181057228137618
Fortaleza,0.47138630271880766,0.11816969407109076,0.18076899934681986,0.10881326503454228,0.16471633829168322,-0.07007109914821756,0.20156811577095335,0.1335928950483202,0.10257153695018592,1.0,0.2546354818306322,0.6160573146800878,0.1684822316106113,0.3633881905645949,0.19145793711053055,0.5320807479486739,0.2555015493270651,0.17277799482321546,-0.022317427139651166,0.24562501001593864,0.019373835176441076,0.5734280316758338,0.36600107427458833,0.2752760539343894,0.09564802485661608,0.6086863287004568,0.13549975317373808
