,Trees,train-rmse-mean,train-rmse-std,Mean RMSE,test-rmse-std
0,0,118.16059579999998,0.15941057833080133,118.175731,0.6391745767869693
1,1,117.98038020000001,0.15887230050502973,117.9965226,0.6393165031427246
2,2,117.80669700000001,0.15861459508254572,117.8206224,0.639630746839641
3,3,117.63656759999999,0.15812603632874536,117.6478804,0.6397750787758447
4,4,117.46811840000001,0.1579199107834097,117.4781768,0.6399638939504024
5,5,117.30211200000001,0.15715898230390465,117.31187579999998,0.6402120427500233
6,6,117.139563,0.15672634776833194,117.1486392,0.64040783715704
7,7,116.9794296,0.156449660092437,116.9883822,0.6405215155294598
8,8,116.82237419999998,0.1561864225461332,116.83050700000001,0.6405522032771391
9,9,116.66791680000001,0.15572296647880685,116.6758194,0.6408406129466528
10,10,116.515463,0.1552690689673857,116.52408299999999,0.6409850175737355
11,11,116.3652832,0.15522140882803365,116.37538300000001,0.6410680519947967
12,12,116.21815940000002,0.15449428897095296,116.22942499999999,0.6410178825131185
13,13,116.0732542,0.1544443402011197,116.08616619999998,0.6410924739166383
14,14,115.93026599999999,0.15409533149060695,115.94600380000001,0.6412875238441488
15,15,115.79029519999999,0.1541015045875946,115.8080416,0.6412106388270877
16,16,115.65392299999999,0.15417951596110185,115.67263640000002,0.6410915685334179
17,17,115.5195616,0.15365490416072244,115.5397154,0.641092528395579
18,18,115.38772120000002,0.1532771908568272,115.40930599999999,0.6409939344464958
19,19,115.2589876,0.15298059348244394,115.281369,0.6409772243030202
20,20,115.1333524,0.15296116527615847,115.15552679999999,0.6409094389426343
21,21,115.00977479999999,0.15325058160855715,115.03238999999999,0.6405564687903768
22,22,114.8890672,0.15283797152723583,114.9116882,0.6401443549598472
23,23,114.770479,0.1526332257524553,114.79276139999999,0.6400492110944624
24,24,114.65477000000001,0.15250331869962824,114.676242,0.639730936643214
25,25,114.54156459999999,0.15232192581713025,114.5616346,0.6398752145844073
26,26,114.43073580000001,0.15235891703920773,114.4493088,0.6393513590624207
27,27,114.3217468,0.1520230542850689,114.33926240000001,0.6391788998631269
28,28,114.21420739999999,0.1520955201097,114.23106379999999,0.6391967947727529
29,29,114.10872359999999,0.1518216808846504,114.124942,0.638757719230696
30,30,114.0053422,0.15200268563074776,114.02075340000002,0.6387096845887298
31,31,113.903563,0.15191460895911313,113.91824799999999,0.6384021348711149
32,32,113.803891,0.15171435398273886,113.8181764,0.6379330076208938
33,33,113.70528119999999,0.15182771568247985,113.7197768,0.6375690445974924
34,34,113.60855839999999,0.15176635031732139,113.62356260000001,0.6371453085695945
35,35,113.513362,0.15172354121493478,113.528926,0.6371568344826862
36,36,113.41989140000001,0.15189557887259364,113.4358412,0.6367951588224888
37,37,113.32809,0.1516805873854643,113.34445960000001,0.6368940729228376
38,38,113.2380282,0.1515586261700738,113.254744,0.6365352213673672
39,39,113.15023040000001,0.1511186841083515,113.16675860000001,0.6364024894752031
40,40,113.06368239999999,0.1508199473075105,113.08031760000001,0.6362514820209384
41,41,112.9793686,0.15024722220207434,112.9959748,0.6361543910578309
42,42,112.8958754,0.15024308703377806,112.91300179999999,0.6360380960534997
43,43,112.814493,0.1499498964054331,112.83151720000001,0.6358692466576426
44,44,112.7341338,0.1503065544936748,112.75160380000003,0.6353502454424321
45,45,112.65527220000001,0.14978932746681103,112.6727296,0.6351950528754443
46,46,112.57821039999999,0.15020760108143777,112.5957962,0.634691143006236
47,47,112.5024674,0.14993692829533367,112.51996139999999,0.6346037397042673
48,48,112.4282272,0.1496368783093269,112.445813,0.6345171688346996
49,49,112.3554308,0.14924274158082276,112.3729386,0.6341611727851549
50,50,112.28416580000001,0.14945718255259835,112.30182019999998,0.6336665314656895
51,51,112.21375900000001,0.14944844542516927,112.23162359999999,0.633342067700101
52,52,112.1446868,0.1494542107073611,112.16262520000001,0.6328951292188599
53,53,112.0766844,0.14930639343658622,112.09502579999999,0.6325560636033457
54,54,112.0102736,0.14912827413820381,112.0286562,0.6324311563743218
55,55,111.94524239999998,0.14897281174442467,111.9635818,0.6321113949618052
56,56,111.88106239999999,0.14893396890917604,111.89942479999999,0.6318702553700128
57,57,111.8182738,0.14887204505668783,111.83679199999999,0.631377051418245
58,58,111.75634480000001,0.14893498346916212,111.7752152,0.6309783390042475
59,59,111.6957582,0.14874425228343902,111.7146056,0.6307819458749899
60,60,111.63653399999998,0.1486997662351882,111.6553512,0.6302052788275894
61,61,111.5777556,0.14864710296214717,111.59714640000001,0.6299435032421866
62,62,111.5203232,0.14881630823858213,111.53991540000001,0.6293271911213113
63,63,111.464816,0.1484417699678913,111.48435520000001,0.6290415442164068
64,64,111.41134659999997,0.1494782507184238,111.43085479999999,0.6278516128355142
65,65,111.358699,0.1505026156822525,111.37816339999999,0.6263079498897003
66,66,111.30678839999999,0.1516308073692149,111.32629999999999,0.6249739611276612
67,67,111.2560058,0.15251917065522982,111.27548220000001,0.6237765537560378
68,68,111.2059202,0.15382416110793512,111.2254836,0.6222463017110187
69,69,111.1572142,0.15474237164319057,111.17661580000001,0.6208510782841271
70,70,111.10808560000001,0.15395762392632395,111.1274568,0.6209067570855996
71,71,111.0594528,0.15410991101729707,111.07902199999998,0.6202792372352977
72,72,111.012413,0.15380602842541422,111.0324204,0.6205844731269425
73,73,110.96811199999999,0.15322825941581045,110.98828899999998,0.6209900980695287
74,74,110.92632599999999,0.1535968122065014,110.94637619999999,0.6204368729362869
75,75,110.8836196,0.1527992667084493,110.90386819999999,0.620737479175019
76,76,110.842096,0.15182092751527937,110.862555,0.6214175470889147
