,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.956425023054128,0.06310271723069608,0.2645450762679819,0.24277279034372826,0.05221428861167412,-0.047164438491651584,0.08569233952892104,0.07482278821479318,0.05122233974389797,0.4320269508180504,0.21969249521056874,0.15155328771699225,0.10530242844105536,0.3206221702918579,0.08282206778744958,0.5812556503747832,0.17357332334916528,0.051431874455805396,0.021235551840091904,0.3603862303301049,-0.003484020904993986,0.5870511011062394,0.32591300968262493,0.1491299669862184,0.15044364906429045,0.2244262007559507,0.11823602735644138
Belo Horizonte,0.06855968273701811,0.9702041751641994,0.17566349584002025,-0.05197067592090263,0.7236068967558889,0.33685056768071414,0.0872365862145865,0.716090375978401,0.6594756084612818,0.08871011636067401,0.5988987825580748,0.32435496007632375,0.20179475642057831,0.1730986470938858,0.10401783918879941,0.344743211747223,0.3537360852836581,0.8825387090150031,0.15955413630253856,0.3374365345514968,0.14615874401606418,0.21228837737782408,0.1120572672659489,0.38887247773970707,0.1380407556056087,0.1233601732195048,0.5451940805605929
Belém,0.1790173397448587,0.11562092696014722,0.9352724060229505,0.21583815902452133,0.11916139666239257,0.40720026626526895,0.1813188885625926,0.15326554244929427,0.07878916685374414,0.12813011947776615,0.2109739410940583,0.10726672536020838,0.6305611408798484,0.21382777680620682,0.3343189000936391,0.23382000714618384,0.47778974272981434,0.09867801576253184,0.08134359020717316,0.3371379347924358,0.4443120255066801,0.32625618770322207,0.31781180357742606,0.23702602319806973,0.10513290132495282,0.18273142469712386,0.13941686386082325
Boa Vista,0.25420993985261126,-0.028133494064364876,0.24337326933523487,0.9495683821895604,-0.033719008439578424,-0.09213794006826848,0.04502718767966625,-0.12879111997457077,-0.16880169911419168,0.11674470555434491,-0.06347815859400809,-0.09014798825457654,0.25742042398554427,0.6164817754658881,0.000567443537575373,0.0960592518784952,-0.06313470382716913,-0.10788337504577394,-0.03851381517790256,0.18013632713412775,0.20846000791854305,0.0988073765913507,0.4366357296256504,0.07454988028220402,-0.07344620865040126,0.050848184221874086,0.03733389741115283
Brasília,0.04381087556406949,0.7187322018753545,0.14196130203835208,-0.08509967461545569,0.9734110908584713,0.35846240447793726,0.05316726032511375,0.5531591825812329,0.6151791139025663,0.13184642141485176,0.5977369000235098,0.381581998934895,0.11521986082661183,0.17722054530768488,0.09303891801605588,0.27300369725703255,0.4934173722903638,0.6066591071948917,0.19650105799154058,0.36776570244788453,0.2380447318549477,0.10492028794587845,0.23232618606653538,0.2721916387873119,0.4562216257316424,0.22885405118180693,0.37212699520891274
Campo Grande,-0.04941845718358411,0.22224001851774264,0.3217278480301577,-0.09552248595088698,0.2622771209194984,0.9727822420134293,0.12103312120204052,0.300992860428787,0.2771383328689578,-0.08726371519444057,0.44915590777214326,-0.015766548073297845,0.2803788531754935,-0.028009906298159193,0.06972712908710844,-0.007173739272619453,0.46177081378919066,0.19562975388650622,0.3745706631462871,0.15277459941860924,0.2597134036646373,0.011524594101884951,-0.07518736144228934,0.05737825232526497,0.03707935973302328,-0.04397236500844441,0.322869285586971
Cuiabá,0.08266262278909192,0.07539666712980489,0.23231934846517213,0.0613826440910686,0.022722184344345236,0.11992525460114307,0.9469144508468915,0.004903181223548471,-0.021679577756949873,0.17070112410623806,0.20749384617578245,0.018448426066579607,0.09672736507015332,0.16996731495040984,0.0008807023112488091,0.09111873901229242,0.17025236508834912,0.020273862832159817,0.20070591354308295,0.12995649082723917,0.1591510368856474,0.3106054203947508,0.35183486390246854,-0.05747051212705283,0.011204030544396915,0.24332681189928107,0.276021552497858
Curitiba,0.06623171823521481,0.6415626984717365,0.17156939238597993,-0.13870704949898374,0.5189020429691926,0.35996100473465603,0.011131474061789994,0.96664305550443,0.8314143260941971,0.09671636446138311,0.5311246826126231,0.3158681542386332,0.1322975853730281,0.05646104677378815,0.09437742576132872,0.4212915123348845,0.30128088171590006,0.7132186934469269,0.17221981879094503,0.4908326001491347,0.059584512532600276,0.08186471850264786,0.037007806701134766,0.47843696325628515,0.05600344838737792,0.11239172669914849,0.17122817192092676
Florianópolis,0.028823021714961372,0.5793417459487805,0.07777933426497752,-0.18133007454533867,0.5850642805329189,0.31976039669532164,-0.015177665273762617,0.8240767698996534,0.8882422363263789,0.067834930300694,0.4783980386262054,0.3116650333772038,0.07462792077934706,-0.02071902561009459,0.02814662714176589,0.34146898985007623,0.4314190795606357,0.6483378699880533,0.12331050465915137,0.45424728386850155,0.03347765045935999,0.037074921837936405,-0.013002324506895748,0.3868512061997475,0.12827064542594527,0.10675444393504983,0.1436851678615573
Fortaleza,0.4928393304047556,0.14467753752248608,0.2264686527868188,0.09543319827763803,0.19182286795539907,-0.05234566865489679,0.22767046679675923,0.17253308075766877,0.14109728699688856,0.9609935744194215,0.28617984012681136,0.6329126612506147,0.19359529146172474,0.37374703856137015,0.23366166746317743,0.5511333264968306,0.2805336864605613,0.20535761434871827,-0.009381969231630071,0.2878655737292013,0.043885755674342206,0.626406030895735,0.361752034804499,0.2989109553842076,0.1261138300047415,0.6416147500481127,0.14125304524599996
