Trees,train-rmse-mean,train-rmse-std,Mean RMSE,test-rmse-std
0,116.5236406,0.1520502448016464,116.53739779999998,0.644216508307075
1,115.00673199999999,0.15015435209810069,115.03665760000001,0.6429384391640015
2,113.7692718,0.14776087790670786,113.7962356,0.6426958998610784
3,112.740689,0.1418760261918831,112.76983479999998,0.6432619072892126
4,111.8901748,0.13703113505390094,111.92280739999998,0.64271926988464
5,111.19152240000001,0.13640473739368505,111.2262252,0.6377346196001614
6,110.6040804,0.13261409404825558,110.64205919999999,0.6371960815856915
7,110.1397964,0.13038711945986303,110.1806444,0.6359628770151956
8,109.783998,0.11929255415657646,109.827919,0.6427916006324281
9,109.489421,0.1235005826075323,109.53423000000001,0.6323720044167077
10,109.2299682,0.13180339811309735,109.2771988,0.6178825399020126
11,109.0355636,0.1345456183851427,109.0847002,0.6127385102757614
12,108.87885000000001,0.13159960123799655,108.92928300000001,0.6164411215018021
13,108.7094666,0.11914329460712608,108.76246959999999,0.6170862780939492
14,108.5552336,0.10385559520911752,108.6125364,0.629021852759538
15,108.4556944,0.11704956754230578,108.51516120000001,0.6137799900229374
16,108.34816140000001,0.08123463878814141,108.4093766,0.6475737561855347
17,108.2687728,0.09285157672629973,108.333861,0.6359638444792259
18,108.1874468,0.09645795765078398,108.25538179999998,0.6286784877606024
19,108.11400899999998,0.09073031802214764,108.183719,0.6385415936112527
20,108.0541412,0.06281077305494592,108.1258102,0.6538364797496056
21,107.99421079999999,0.08541043488333129,108.06740119999999,0.6309981593581399
22,107.95191359999998,0.08685299394631975,108.0277484,0.6290320456048676
23,107.8953736,0.11071909848910291,107.9740708,0.6076614823091554
24,107.8660844,0.11926803974678428,107.94748840000003,0.600437113855433
25,107.807512,0.11727944825074672,107.89163199999999,0.6023307645681076
26,107.75661319999999,0.12622147016637125,107.84491720000001,0.5856730022199761
27,107.698924,0.12906358172776608,107.7923752,0.5777670204216904
28,107.66994300000002,0.1269777305939908,107.76576379999999,0.5814892841321844
29,107.62735899999998,0.12865921670987904,107.7261444,0.5735666245327049
30,107.59739520000001,0.13510633392909507,107.70071280000002,0.5675172265823812
31,107.56319599999999,0.12842790253679148,107.6698686,0.5696658694036714
32,107.53770460000001,0.13146543204143082,107.64765300000002,0.5671771072735561
33,107.519557,0.12636242844136603,107.6310424,0.5703339847025086
34,107.48120739999999,0.12839444530913222,107.59562820000001,0.5688207671888947
35,107.4431002,0.11667463645608489,107.56081079999998,0.5803662195687793
36,107.4159592,0.11401748800495447,107.53557140000001,0.5812541075170489
37,107.395253,0.1113387677460102,107.518451,0.5810682416525578
38,107.37405119999998,0.11313845384023952,107.49973,0.5774882791381987
39,107.3525574,0.11435984835002182,107.4808884,0.5745836572564846
40,107.31532299999999,0.13784394112618523,107.4437728,0.5484791786069557
41,107.2793304,0.1270405457995232,107.412642,0.557244916973499
42,107.2411818,0.12965184343525463,107.3778136,0.5573917030439531
43,107.2189926,0.12092257199811864,107.35857839999998,0.5647096352851089
44,107.2112152,0.12249957897625507,107.352385,0.5634952092371314
45,107.18010380000001,0.12659605338777538,107.32316900000001,0.5596387506779692
46,107.1435454,0.12418034099260591,107.289221,0.5585941218262149
47,107.1217484,0.11953694478545368,107.269632,0.564174998443567
48,107.09531999999999,0.11820285177439582,107.247406,0.5668514142940799
49,107.06260379999999,0.11774250801201776,107.21826200000001,0.5649265502208224
50,107.0506528,0.11078255673417074,107.2086808,0.569906849342735
51,107.03090040000002,0.10118347858934164,107.19065700000002,0.5778227138986497
52,107.01165780000001,0.1061076443398869,107.1738144,0.5761223432961473
53,106.9915328,0.10114665226966413,107.15616619999999,0.5836977644587631
54,106.95792080000001,0.11014198698661723,107.1258162,0.5755008289097064
55,106.936583,0.11334387576397784,107.10527200000001,0.5694253000866735
56,106.904042,0.11168169144672031,107.07770520000001,0.5739964284263098
57,106.8829514,0.10210939679892164,107.0601762,0.5847693566182817
58,106.8585984,0.0928720068408128,107.03928379999999,0.5937412180064292
59,106.8326554,0.11074977660220994,107.0136794,0.5773513934735403
60,106.81986839999999,0.11622851613541402,107.002312,0.5710977473494363
61,106.7989746,0.12068134954432697,106.98335260000002,0.5661658686839424
62,106.78167579999999,0.12675178351155267,106.9668854,0.5617529794785562
63,106.75314180000001,0.1457880171459934,106.9402022,0.5480375763669492
64,106.71959539999997,0.15958113925223052,106.91163179999998,0.5390093270025632
65,106.6912628,0.16685162109059623,106.8852906,0.5276098042480263
66,106.65953220000002,0.16575392507617873,106.85719160000001,0.5277773143891618
67,106.6384384,0.1535663292816499,106.8393614,0.5345427944561965
68,106.6142882,0.1487044119727444,106.8189212,0.5384653868669388
69,106.58601680000001,0.15847276767116672,106.7928618,0.5257830080530932
70,106.56730660000001,0.15892498006241915,106.7770234,0.5252949520978085
71,106.55509500000001,0.15351553407782487,106.76562040000002,0.5304690777297373
72,106.537372,0.15087670935303507,106.75032959999999,0.5311042433995801
73,106.51127919999999,0.16428151729564955,106.72805779999999,0.5214814974322289
74,106.49727480000001,0.16762566600303105,106.71696179999999,0.5231047406014944
75,106.47403440000001,0.15071674141328625,106.6964892,0.532568614004021
76,106.44728239999999,0.14531324227007134,106.67343780000002,0.5374563311341328
77,106.4271056,0.1480407222376316,106.65650799999999,0.5368115982066691
78,106.40331700000002,0.14505642755700138,106.6371078,0.5410944409292695
79,106.37348479999999,0.13858622654563987,106.61055579999997,0.5461562630447071
80,106.34821199999999,0.14082241520155875,106.5882538,0.5425835544615817
81,106.3234878,0.12561338680952358,106.56566640000001,0.5465634671511073
82,106.30484179999999,0.11578355707508933,106.54999860000001,0.5545255422772162
83,106.27610159999999,0.10118493807795882,106.5243516,0.565731273801475
84,106.2386594,0.10876856335467518,106.4897844,0.5551924342260439
85,106.21562960000001,0.10831551926404283,106.46726999999998,0.5474289408414597
86,106.18029940000001,0.11307423630093645,106.43523880000001,0.5421652754876113
87,106.16436300000001,0.1160196680757198,106.4207412,0.5406196383915036
