,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.4797898955074893,0.013625812265494374,0.33131520571330064,0.11672219875250296,0.013956749392534386,-0.04509668826297197,0.0588091496321543,0.04160885610262719,0.033388239866070105,0.18508472874288398,0.14369117259682163,0.05654978300215153,0.08299632623874167,0.12087888325997903,0.13369979644628915,0.3415931214963409,0.2185801673467791,0.04938422647144612,0.07409619933521176,0.20108125073690228,0.019998909307009097,0.5890587686792047,0.15843461718466417,0.0679603961035635,0.12959353891689646,0.17197032793316525,0.06686556537913144
Belo Horizonte,0.022376496060777257,0.5400566039063862,0.2053103221403932,-0.09555325330484722,0.5066725153101337,0.6763863554524145,0.10063933491484833,0.6303940886101219,0.6145182716042057,-0.04432279603929167,0.6437940574546589,0.08717281507383785,0.08049576627718556,0.0006104381582564062,0.10507882164059806,0.2199618313878771,0.43855975232911354,0.5693826770343534,0.2675209426356781,0.3776372609413442,0.2170937301853718,0.09095982700501261,0.0023364225886077935,0.16621540222841777,0.0983847476131576,0.022598920472897615,0.5048987375465492
Belém,0.0143856399902088,-0.025659008167886625,0.6445303875951631,0.15015792520917545,0.01841383432687512,0.4429680998031006,0.08320048053372747,0.02459273211120705,0.00741152578428067,-0.05040180693798232,0.13618846711981636,-0.1152094823055785,0.41579886782892583,0.05677872081475254,0.21613993149771263,-0.01507937434113534,0.34805250886960604,-0.025910978388856244,0.1959467864500866,0.21670477076380595,0.4338555811636292,0.08986782781271586,0.11350119511516886,0.03821473210004515,0.05921966533291004,0.026606201826401454,0.01958906593247979
Boa Vista,0.21886401493249802,0.06163093606190742,0.27173357461910225,0.676160457899803,0.09919021521688244,-0.017178498530678096,0.05639259697743119,-0.10212183755209715,-0.1335636065922931,0.15226680114179345,-0.015584740931866677,-0.08293278817408214,0.19101409436806452,0.5557799228730899,-0.009299340260612085,0.10172997481366253,0.029385916429585997,-0.09293516986180744,0.021298211790096958,0.12234832927701186,0.23492040678826825,0.16581441226581292,0.32801107581677263,-0.006145556019958412,-0.008421790482781712,0.06966644208866851,0.023087227391193697
Brasília,-0.010985664742007644,0.49298513428059565,0.11812811216783355,-0.15961402378206188,0.6641162392251575,0.5270329731643134,0.10788786820030188,0.46255273046774825,0.5424368302826108,-0.03057833945548925,0.6450207880482772,0.10682817734048633,0.012734310685373167,-0.03424731376812763,0.11053876823036053,0.10837358983276046,0.5604698241834528,0.4589638776081797,0.37305418255312006,0.34225997706588374,0.28790741227674704,0.042314369459961025,0.0699481746025435,0.10305740001561058,0.4213639236614243,0.09372975350965297,0.3741478086486375
Campo Grande,-0.0553628111107991,0.03256140425821171,0.06617475390763247,-0.11665716666377429,0.04353298177949671,0.5155715372680535,0.08491469567281103,0.0967694662854047,0.12800891258941932,-0.14817873618459482,0.21240394156553494,-0.1505086496893686,0.0624343689104397,-0.11879397440595103,-0.011035412662780741,-0.10749626084702801,0.18426523351161725,0.020789332219172164,0.379331347014475,0.09744631150778521,0.1515246065615167,-0.06635402749007466,-0.14520523598473742,-0.06355664776620448,-0.022581434503335697,-0.13953983674481152,0.12566808055588896
Cuiabá,0.05487739289548065,0.022165676359280316,0.322526389658403,0.12947500661964093,-0.052312573746482814,0.06754045608404265,0.4435165552500509,-0.012456137918758254,-0.039344325497788935,0.023023973942925633,0.14209311631859867,-0.09820684438911383,0.16635573203195667,0.028253821972935782,-0.003548694948621875,-0.02766210927991521,0.1259123143151163,-0.006766902089095807,0.15890403814280835,0.12656440001325436,0.30489649641670796,0.15291838334591035,0.4245308008746437,-0.10863859640651732,0.007207402669008003,0.08998527461559566,0.22035435040263593
Curitiba,0.03530228691296155,0.36943072340392336,0.15744484390796068,-0.16370701532150259,0.33353365787916883,0.3994617199340745,0.02238343877492467,0.7060297840494058,0.7121006570458887,-0.01921331039595018,0.3883278780919231,0.08721576386014929,0.019866706202063517,-0.06832267264248724,0.05574493570010427,0.2617853614201375,0.30001742408253723,0.4495513815147058,0.12270867265185552,0.5246829694872085,0.04746191337461241,-0.009410995380676104,-0.030123180124697956,0.20845184867046776,0.06294590793794119,-0.004944980144451608,0.14235379988750846
Florianópolis,-0.0031143096449143147,0.3418741927550467,0.06839790141428681,-0.19975748423269984,0.3499345363725788,0.3461809994972318,-0.010995843885077579,0.6340974491307144,0.7164176595236418,-0.03245524377636782,0.3605313359418445,0.09994634238456375,-0.017076661653850102,-0.1168677144201396,0.010018290471440873,0.20632824816367937,0.4131600563533426,0.414302051859575,0.09537128823189478,0.44824884074728744,0.015313147154270762,-0.049305209510875726,-0.07012064820950631,0.1660113298840988,0.09506937672241585,-0.014563041979704034,0.10421002180969303
Fortaleza,0.3659310819852098,0.23892617907338173,0.39221251559882464,0.004790968194176273,0.24406091537137634,0.042352193180279336,0.2297116509647713,0.3287284058852641,0.273730094303941,0.4561221032799919,0.37305734649374517,0.45728532100771624,0.2801334023040262,0.23045547264855215,0.3861726311963004,0.4478176998953906,0.3713154954649569,0.3581521907902955,0.06195085165162052,0.43564344143439465,0.15117625849792918,0.571008127143275,0.21982635576802736,0.35087107907816895,0.27357004352006026,0.5149556895065979,0.1156329001590498
