,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.8041632903658196,0.044838707407571725,0.30449545380577897,0.19177733235552916,0.04214633092363978,-0.04562486660430537,0.08140763706073358,0.06682007661256606,0.05068611376037182,0.3354963661657644,0.20630268601970306,0.12005581529227746,0.09959938261853475,0.24849972595188893,0.10877264161385519,0.4984157323650621,0.1981693646599498,0.054818193140169245,0.04419021067773762,0.31017968882109637,0.010875675973043125,0.641718179856651,0.26831701588235884,0.12264671815770752,0.1652402104787975,0.21385610315181908,0.10478802049831668
Belo Horizonte,0.05426879238966314,0.8348814905774173,0.20690137772335934,-0.07132284004664605,0.6661122114621457,0.47230097209452976,0.09642598165338354,0.7133069551170097,0.6611292192346933,0.028661728268278223,0.6489921667410056,0.23108700560106055,0.16390666633198123,0.10338903484329423,0.10912537297106836,0.3146928343002718,0.4009960166669973,0.8159966455046462,0.2022237994296523,0.3744814343283177,0.1886356337018849,0.1770835431571547,0.07084941502925417,0.313145784605921,0.12313873051181977,0.09237392210586555,0.5509401412664695
Belém,0.10110320422211176,0.055879665048427375,0.8100762312335322,0.17670522631893615,0.07895015830824768,0.4495124876310947,0.13677632335712978,0.11057358155849917,0.04770138010312749,0.044688467121077324,0.18313884531351468,0.0019512444908009637,0.5401571526480404,0.1394033870030419,0.30720153738132977,0.1195205990534685,0.4435263579875401,0.04671949055686965,0.12834444215431628,0.2877544245973623,0.4692867543024229,0.22753293702019373,0.2271041650128779,0.13934207562141893,0.08529101040815328,0.11080126198448846,0.08323109614632204
Boa Vista,0.2433312517640112,0.012904501030906866,0.24923586419671584,0.8167358251716743,0.023751191974528123,-0.07352655692010819,0.043096878957782,-0.11910364876661444,-0.15655525597429923,0.1295642859458892,-0.04463305179060332,-0.08695175646567013,0.23464795365016164,0.6028082485737822,0.0032546246892651526,0.09823639437189208,-0.024739123337684032,-0.10625578647407255,-0.020254826564952293,0.16105004463320882,0.22110074322684772,0.1353974757667352,0.4030971168771071,0.04045981778607151,-0.045477038625269556,0.05429167854000835,0.03322181728204929
Brasília,0.022257762349182728,0.6572185522704835,0.1425933124498616,-0.12507930018344643,0.8761121486854551,0.4470589642606298,0.07968795333640645,0.5455261503818796,0.6167363705221679,0.0640985547154558,0.6379310557416867,0.2758457119832826,0.08419454289881555,0.08484097410332977,0.10612590396760013,0.21629694123048077,0.5439904344436702,0.5636196647862933,0.2749592142782645,0.37468092470312037,0.27462530242719907,0.0906817553070761,0.16903370037795415,0.21281859381267046,0.466298864441723,0.19020122724110322,0.38012689279595985
Campo Grande,-0.05335331144037286,0.13232326936520677,0.21477740674078258,-0.100690622437427,0.17004372617972927,0.820240817009553,0.10969496111858659,0.21558390361001684,0.2134733219761704,-0.115960777398258,0.3612399318655368,-0.0792444023672377,0.19769950882378023,-0.07238647884598272,0.035282433356965265,-0.05073597729616808,0.3586023789261039,0.11735556189806588,0.4027979643988098,0.12784800420403936,0.2262060118047719,-0.024664097035072403,-0.10774133114406333,0.0014486130650029798,0.014946415677863261,-0.08750847400134755,0.24266497724600655
Cuiabá,0.07571455454029118,0.05878712376291308,0.27155677921979277,0.09291152677670077,-0.01091391505733688,0.10521058156085471,0.7424804802635281,-0.000972110432869082,-0.028338957470155857,0.10185440671134866,0.18623703293964575,-0.030623631803880492,0.13448338086353342,0.11309602052234317,0.0025950205649531923,0.042794516617846834,0.1604131853562356,0.014584122078750565,0.19459603620686441,0.13657268633505945,0.19598120375137842,0.25465846209727255,0.4280388613132054,-0.07856896776737705,0.009655841814620147,0.18523928275757934,0.27210522070541526
Curitiba,0.04820417501333304,0.5433230306624792,0.1715986375871659,-0.15161930819652852,0.45346700702123166,0.3973138765796508,0.013867462903196731,0.8830980989992822,0.7875040399307769,0.042093534713336635,0.49108616027488866,0.2132147498275144,0.09134818027887864,0.005011205939180566,0.08513534401956288,0.36578257422132404,0.312829025137583,0.6308413756698521,0.1587425910715762,0.5075163863350346,0.059760955856565684,0.04530957164131699,0.009428537092839423,0.37674378259676666,0.06510104034958684,0.05906848966748238,0.16631576656164038
Florianópolis,0.010205654265388659,0.4876301076682202,0.0728470478559489,-0.1904614256747947,0.48721032232326567,0.3516127708875445,-0.013384083628746327,0.7519861740089997,0.7978309002389716,0.022264519353891274,0.4411223103093369,0.2182560141435682,0.03864777640977995,-0.06624443254222309,0.02221467296843517,0.2884689229716404,0.4357283835526519,0.5216829526372878,0.10916070933843072,0.4549289441415908,0.03456898857195987,0.0032602366328708748,-0.0450765172640577,0.3010116987834829,0.1284240288632993,0.06259118824684211,0.12374053070750224
Fortaleza,0.4842287412926747,0.19451039349713214,0.3022421903683908,0.0633945166470629,0.2273974827722751,-0.013865305399171477,0.25389167442648247,0.2480997386877248,0.2177912899846769,0.7729589385116012,0.3297925840218623,0.6007544273004327,0.23485079981905688,0.34795353892087466,0.31757531947600776,0.5418222959257675,0.32329290650717896,0.28056565778320786,0.018618838670958517,0.3669473336334923,0.08894804065862079,0.6700739094938075,0.314441576263642,0.3361424774234382,0.18521299324704438,0.6417528259847367,0.13924799540143343
