n_estimators,learning_rate,min_child_weight,max_depth,gamma,subsample,colsample_bytree,RMSE
500.0,0.3,5.0,5.0,0.0,1.0,0.75,77.38222470887106
500.0,0.3,5.0,5.0,0.5,1.0,0.75,77.38222470887106
500.0,0.3,5.0,5.0,1.0,1.0,0.75,77.38222470887106
500.0,0.3,5.0,5.0,2.5,1.0,0.75,77.38222470887106
500.0,0.3,5.0,5.0,5.0,1.0,0.75,77.38222470887106
500.0,0.3,5.0,5.0,7.5,1.0,0.75,77.38222470887106
500.0,0.3,5.0,5.0,100000.0,1.0,0.75,88.13206511243466
