All cities,Lag (weeks),Range (weeks),RMSE,MAE,MAPE
Yes,4,8,1044.2601631919997,387.0000023032134,51.76299399524268
Yes,4,12,975.3141279165523,355.32156962268755,36.03182175355499
Yes,4,26,921.2101439329315,363.18309193737105,55.4127279572633
Yes,4,52,1153.599760015524,464.48011016845703,58.54927717814008
